basin,accuracy,precision,recall,f1,roc_auc,flood_rate_pct
4050033430,0.9911,0.9247,0.9618,0.9059,0.9968,11.4
4050952440,0.972,0.913,0.9621,0.9312,0.9958,21.2
4050965750,0.9811,0.9337,0.9499,0.9118,0.9923,17.4
4050967070,0.9726,0.9034,0.9528,0.9481,0.9925,15.2
4050968180,0.9841,0.9183,0.9874,0.9044,0.9945,7.7
4050968900,0.9734,0.886,0.9851,0.9383,0.9982,7.7
4050969500,0.9858,0.8995,0.9738,0.9257,0.9922,6.0
4050970210,0.9895,0.8799,0.9676,0.9453,0.9936,19.7
4050971010,0.9821,0.9297,0.9892,0.9112,0.9982,15.2
4050973370,0.9712,0.8942,0.99,0.9516,0.992,17.0
4050974080,0.9905,0.8859,0.9735,0.9422,0.9945,5.3
4050974550,0.9727,0.863,0.9785,0.9302,0.9924,21.5
4050974840,0.9916,0.8794,0.982,0.9457,0.9937,19.2
4050975260,0.9674,0.9268,0.9626,0.9112,0.9923,8.6
4050975690,0.9824,0.8739,0.983,0.9232,0.9986,8.1
4050975880,0.972,0.9128,0.9899,0.9333,0.9957,8.1
4050976110,0.9742,0.8879,0.9849,0.9538,0.9982,10.2
4050977080,0.9814,0.8607,0.9506,0.9398,0.992,13.9
4050979140,0.9842,0.879,0.9629,0.9448,0.9965,12.3
4050980620,0.9722,0.8795,0.9985,0.9236,0.9982,10.0
4050980810,0.9703,0.9178,0.9604,0.9015,0.9965,15.4
4050981210,0.9654,0.9343,0.9686,0.958,0.9987,7.4
4050981380,0.9696,0.9045,0.9965,0.9418,0.996,10.0
4050981580,0.9887,0.9193,0.9833,0.9421,0.9945,11.2
4050982180,0.9788,0.9001,0.9889,0.939,0.9969,12.8
4050982870,0.9806,0.8629,0.9706,0.9326,0.994,18.3
4050984140,0.9684,0.9018,0.9873,0.9129,0.9964,8.4
4050984370,0.9846,0.9381,0.9734,0.9194,0.9976,13.7
4050984810,0.9876,0.9157,0.9675,0.9104,0.9931,15.1
4050985390,0.9908,0.919,0.9755,0.9367,0.9949,5.8
4050985620,0.9662,0.8633,0.9921,0.9422,0.9953,15.3
4050986100,0.9758,0.9093,0.9799,0.9027,0.9946,7.9
4050986380,0.9669,0.9114,0.9465,0.9351,0.9986,6.1
4050987120,0.9904,0.8909,0.9979,0.9543,0.9934,21.1
